,id_numeric,name,id_origina,source,n_mines,avg_m_area,area_mines,density_mines
0,81010,Dezadeash,08AA,NHN,3.0,0.21209659435273334,0.6362897830573704,7.065909640880594e-05
1,81110,Inklin,08BA,NHN,2.0,2.544015685453,5.08803137090915,0.00048635168630296465
2,81111,Taku,08BB,NHN,0.0,0.0,0.0,0.0
3,81210,Headwaters Stikine,08CA,NHN,1.0,0.06280138141649999,0.01732160729088726,1.5758424409178479e-06
4,81211,Upper Stikine,08CB,NHN,1.0,0.353453610941,0.35345361094079836,4.115078417478847e-05
5,81212,Klappan,08CC,NHN,2.0,1.86204579066325,3.105906873792087,0.0008601682162511589
6,81213,Tuya,08CD,NHN,0.0,0.0,0.0,0.0
7,81214,Central Stikine,08CE,NHN,4.0,0.640681814021425,2.5627272560884378,0.00027157117738084045
8,81216,Iskut,08CG,NHN,2.0,3.584151227795,4.107875355932613,0.0005867590296741498
9,91011,Headwaters Yukon - Lake Laberge,09AB,NHN,12.0,0.7735980562356832,9.28317667483276,0.0012004167643657982
10,91013,Nisutlin,09AD,NHN,4.0,0.49375452003522496,1.9750180801452957,0.0001660283026415816
11,91014,Upper Teslin,09AE,NHN,5.0,0.35192167667440005,1.759608383373116,9.536442040739706e-05
12,91015,Lower Teslin,09AF,NHN,1.0,3.31621931421,3.316219314213199,0.0006489034609925554
13,91016,Big Salmon,09AG,NHN,8.0,0.47607330699175,3.8085864559292517,0.0005573289474492141
14,91017,Headwaters Yukon - Nordenskiold,09AH,NHN,9.0,3.8056224051976666,34.250601646723595,0.0017180154295311453
15,91110,Upper Pelly,09BA,NHN,7.0,1.9268190103044283,13.344138635309353,0.0007351727651207138
16,91111,Macmillan,09BB,NHN,0.0,0.0,0.0,0.0
17,91112,Lower Pelly,09BC,NHN,1.0,45.4976421966,45.49764219661937,0.0025059053938608976
18,91210,Donjek,09CA,NHN,12.0,6.125114706883199,70.4490719164738,0.002658042865024735
19,91213,Upper Yukon - White,09CD,NHN,9.0,2.617609555203,20.71309207143673,0.003859248865067759
20,91310,Hess,09DA,NHN,0.0,0.0,0.0,0.0
21,91311,Beaver (Y.T.),09DB,NHN,0.0,0.0,0.0,0.0
22,91312,Upper Stewart,09DC,NHN,18.0,1.8131491155305552,25.261648355408003,0.0036818380863493268
23,91313,Lower Stewart,09DD,NHN,20.0,3.18278695103837,55.00896686669755,0.003354280151840228
24,91410,Klondike,09EA,NHN,12.0,6.938345863658332,82.21991334677577,0.010188046961586863
25,91510,Headwaters Porcupine,09FA,NHN,0.0,0.0,0.0,0.0
26,91511,Upper Porcupine - Bell,09FB,NHN,0.0,0.0,0.0,0.0
27,19010102,Ketchikan,19010102,IJC,0.0,0.0,0.0,0.0
28,19010103,Prince of Wales,19010103,IJC,1.0,0.112401896978,0.11240189697746177,6.9719601893498015e-06
29,19010104,Bradfield Canal,19010104,IJC,0.0,0.0,0.0,0.0
30,19010105,Burroughs Bay,19010105,IJC,5.0,0.30616504755884,1.5308252377937712,0.00015092495770949906
31,19010106,Headwaters Portland Canal,19010106,IJC,9.0,1.0791614347851113,8.605701205936464,0.002397064464734817
32,19010107,Outlet Portland Canal,19010107,IJC,0.0,0.0,0.0,0.0
33,19010204,Admiralty Island,19010204,IJC,1.0,0.25599059124,0.2559905912373177,4.616988046380837e-05
34,19010205,Lower Iskut,19010205,IJC,3.0,0.3251412649370333,0.975423794813667,0.00038313347068830525
